Timestamp,number_of_phones,operating_system,price_range,brand_of_phone,change_of_phone_after,use,mobile_operator,important_criteria,charge_phone_frequency,payment_method,outlet,app,app_service,check_ratings_ol,second_hand_ol,access_ol,better_offline_buy,local_or_retail,store_service,check_ratings_of,second_hand_of,access_of,better_online_buy
2/26/2021 17:09:29,2,Android,"10,000 - 20,000",Xiaomi,After earlier phone stop working. ,"Call, SMS, Social Media",MTNL,Price,Once a day,Net Banking,Online,Flipkart,Yes,Yes,No,Yes,Yes,,,,,,
2/26/2021 17:09:51,1,Android,"10,000 - 20,000",Vivo,After 3-4 years,"Call, SMS, Social Media, Music, Work",Vi,Design,More than twice a day,UPI,Nearest store to me,,,,,,,Local,Yes,Sometimes,Maybe,Sometimes,Yes
2/26/2021 17:10:36,3,iOS,"More than 40,000",Apple,1,Social Media,Jio,Camera,Once a day,UPI,Online,Amazon,Yes,Yes,No,Yes,Yes,,,,,,
2/26/2021 17:10:36,3,Android,"More than 40,000",OnePlus,1,Social Media,Jio,Camera,Once a day,UPI,Online,Amazon,Yes,Yes,No,Yes,Yes,,,,,,
2/26/2021 17:10:36,3,Android,"More than 40,000",Samsung,1,Social Media,Jio,Camera,Once a day,UPI,Online,Amazon,Yes,Yes,No,Yes,Yes,,,,,,
2/26/2021 17:13:12,2,Android,"10,000 - 20,000",Samsung,1,"Call, SMS, Social Media",Vi,Design,Twice a day,UPI,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,Maybe,Yes,Maybe
2/26/2021 17:13:12,2,Android,"10,000 - 20,000",Xiaomi,1,"Call, SMS, Social Media",Vi,Design,Twice a day,UPI,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,Maybe,Yes,Maybe
2/26/2021 17:31:52,1,Android,"10,000 - 20,000",Oppo,Not untill necessary,"Call, SMS, Social Media, Music",Jio,Brand,Once a day,UPI,Online,Amazon,Yes,Yes,Yes,Yes,Yes,,,,,,
2/26/2021 17:45:08,1,Android,"10,000 - 20,000",Samsung,1,Call,Vi,Price,Once a day,Cash,Nearest store to me,,,,,,,Local,Yes,Yes,No,Yes,No
2/26/2021 17:54:11,1,Android,"5000 - 10,000",Samsung,1,"Call, Social Media, Music",Airtel,Price,Twice a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,Maybe
