Timestamp,number_of_phones,operating_system,price_range,brand_of_phone,change_of_phone_after,use,mobile_operator,important_criteria,charge_phone_frequency,payment_method,outlet,app,app_service,check_ratings_ol,second_hand_ol,access_ol,better_offline_buy,local_or_retail,store_service,check_ratings_of,second_hand_of,access_of,better_online_buy
2/26/2021 14:27:59,More,Android,"10,000 - 20,000",Xiaomi,1,Social Media,Jio,Specifications,Once a day,Debit Card/ Credit Card,Shopping malls,,,,,,,Retail chain store,Yes,Yes,No,No,Yes
2/26/2021 14:27:59,More,Android,"10,000 - 20,000",Vivo,1,Social Media,Jio,Specifications,Once a day,Debit Card/ Credit Card,Shopping malls,,,,,,,Retail chain store,Yes,Yes,No,No,Yes
2/26/2021 14:36:27,1,Android,"20,000 - 40,000",OnePlus,1&1/2,"Call, SMS, Social Media, Music, Entertainment",Vi,Camera,Twice a day,UPI,Nearest store to me,,,,,,,Local,Yes,Yes,Yes,Yes,Yes
2/26/2021 14:40:03,2,Android,"20,000 - 40,000",OnePlus,1,"Call, Social Media",Jio,Specifications,Once a day,UPI,Nearest store to me,,,,,,,Local,No,Yes,Maybe,Yes,Yes
2/26/2021 14:40:03,2,Android,"20,000 - 40,000",Realme,1,"Call, Social Media",Jio,Specifications,Once a day,UPI,Nearest store to me,,,,,,,Local,No,Yes,Maybe,Yes,Yes
2/26/2021 14:41:22,1,Android,"20,000 - 40,000",Oppo,4-5 years,"Call, Social Media, Music",Jio,Camera,Once a day,Cash,Nearest store to me,,,,,,,Local,Yes,Yes,No,Sometimes,Yes
2/26/2021 14:49:52,1,Android,"20,000 - 40,000",Oppo,1,Social Media,Jio,Design,Twice a day,UPI,Nearest store to me,,,,,,,Local,Yes,Sometimes,No,No,Yes
2/26/2021 14:51:23,1,Android,"10,000 - 20,000",Samsung,2 years,"Call, SMS, Social Media, Music",Jio,Camera,More than twice a day,Cash,Online,Amazon,Yes,Yes,No,No,Yes,,,,,,
2/26/2021 14:51:23,1,Android,"10,000 - 20,000",Xiaomi,2 years,"Call, SMS, Social Media, Music",Jio,Camera,More than twice a day,Cash,Online,Amazon,Yes,Yes,No,No,Yes,,,,,,
2/26/2021 14:52:03,1,iOS,"10,000 - 20,000",Apple,2-3 years,"Call, SMS, Social Media, Music, Work",Vi,Brand,More than twice a day,Net Banking,Online,Amazon,Yes,Yes,Maybe,No,No,,,,,,
2/26/2021 14:52:03,1,Android,"10,000 - 20,000",Xiaomi,2-3 years,"Call, SMS, Social Media, Music, Work",Vi,Brand,More than twice a day,Net Banking,Online,Amazon,Yes,Yes,Maybe,No,No,,,,,,
2/26/2021 14:52:03,1,Android,"10,000 - 20,000",Samsung,2-3 years,"Call, SMS, Social Media, Music, Work",Vi,Brand,More than twice a day,Net Banking,Online,Amazon,Yes,Yes,Maybe,No,No,,,,,,
2/26/2021 14:52:27,1,iOS,"10,000 - 20,000",Apple,2 years ,"Call, SMS, Social Media, Music",Vi,Price,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Retail chain store,Yes,No,No,Yes,No
2/26/2021 14:54:08,1,Android,"More than 40,000",Motorola,18-24 months,"Call, SMS, Social Media, Music, Work",Airtel,Brand,Once a day,Debit Card/ Credit Card,Online,Flipkart,Yes,Sometimes,No,Sometimes,Yes,,,,,,
2/26/2021 14:57:34,2,Android,"10,000 - 20,000",Samsung,As long as it works just fine,"Call, SMS, Social Media",Vi,Price,Once a day,Net Banking,Nearest store to me,,,,,,,Retail chain store,Yes,Sometimes,No,Yes,Maybe
2/26/2021 14:58:01,1,Android,"10,000 - 20,000",Samsung,After 6 months,"Call, SMS, Social Media",Jio,Brand ,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,No
2/26/2021 14:58:01,1,Android,"10,000 - 20,000",Vivo,After 6 months,"Call, SMS, Social Media",Jio,Brand ,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,No
2/26/2021 15:00:09,More,iOS,"10,000 - 20,000",Apple,More than 2 years,"Call, SMS",Jio,Specifications,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Local,Yes,Yes,Maybe,Yes,Yes
2/26/2021 15:00:09,More,Android,"10,000 - 20,000",Samsung,More than 2 years,"Call, SMS",Jio,Specifications,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Local,Yes,Yes,Maybe,Yes,Yes
2/26/2021 15:04:49,3,Android,"20,000 - 40,000",Samsung,1,"Call, SMS, Social Media, Music",Jio,Brand,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,No
2/26/2021 15:04:49,3,iOS,"20,000 - 40,000",Apple,1,"Call, SMS, Social Media, Music",Jio,Brand,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,No
2/26/2021 15:17:59,More,iOS,"More than 40,000",Apple,After 5-6 yrs ,"Call, SMS, Social Media, Music",Jio,After sales service,More than twice a day,UPI,Shopping malls,,,,,,,Retail chain store,Yes,Yes,Maybe,Sometimes,Maybe
2/26/2021 15:17:59,More,Android,"More than 40,000",OnePlus,After 5-6 yrs ,"Call, SMS, Social Media, Music",Jio,After sales service,More than twice a day,UPI,Shopping malls,,,,,,,Retail chain store,Yes,Yes,Maybe,Sometimes,Maybe
2/26/2021 15:28:34,1,Android,"5000 - 10,000",Vivo,After first get damaged ,"Call, Social Media",Vi,Price,Twice a day,UPI,Nearest store to me,,,,,,,Retail chain store,Yes,Sometimes,No,Sometimes,Maybe
